"municipios","empleo_promedio_anual","salarios_totales","salario_semanal_promedio"
" PUERTO RICO TOTAL","927917","24993692892","517.99"
" ADJUNTAS","1879","35962691","368.03"
" AGUADA","4415","78291576","341.00"
" AGUADILLA","17208","478481031","534.72"
" AGUAS BUENAS","1899","39991485","404.90"
" AIBONITO","5389","129712621","462.85"
" AÑASCO","5326","130697545","471.92"
" ARECIBO","21942","558733302","489.70"
" ARROYO","2563","67920741","509.67"
" BARCELONETA","9906","333136370","646.70"
" BARRANQUITAS","3306","72679304","422.78"
" BAYAMÓN","56176","1363354104","466.72"
" CABO ROJO","5520","99060812","345.11"
" CAGUAS","47562","1170518980","473.28"
" CAMUY","3452","67265972","374.71"
" CANÓVANAS","6524","154261801","454.75"
" CAROLINA","52284","1254019468","461.24"
" CATAÑO","10477","315412252","578.95"
" CAYEY","10735","288573208","516.97"
" CEIBA","1193","25546298","411.97"
" CIALES","1695","33605117","381.25"
" CIDRA","5739","157185040","526.68"
" COAMO","3951","83268945","405.32"
" COMERÍO","2141","40392961","362.77"
" COROZAL","4111","82314202","385.05"
" CULEBRA","426","7589342","342.60"
" DORADO","7709","190513132","475.26"
" FAJARDO","11623","298140284","493.28"
" FLORIDA","1492","28086324","362.07"
" GUÁNICA","2175","40456246","357.73"
" GUAYAMA","10938","314878713","553.59"
" GUAYANILLA","2542","60848158","460.42"
" GUAYNABO","45402","1508014332","638.74"
" GURABO","6581","199137428","581.93"
" HATILLO","8116","156490198","370.80"
" HORMIGUEROS","2497","45889979","353.47"
" HUMACAO","16938","464970605","527.92"
" ISABELA","6731","147918996","422.59"
" JAYUYA","2739","68886337","483.67"
" JUANA DÍAZ","6603","152783221","444.95"
"JUNCOS","6696","334138719","959.59"
" LAJAS","2633","46142250","336.98"
" LARES","4273","69332448","312.05"
" LAS MARÍAS","1198","20385087","327.21"
" LAS PIEDRAS","6855","203477528","570.81"
" LOIZA","1559","32656646","402.77"
" LUQUILLO","2220","54727542","473.99"
" MANATÍ","13436","355809529","509.25"
" MARICAO","1279","27006189","405.98"
" MAUNABO","1547","41676952","518.14"
" MAYAGÜEZ","31841","743890101","449.29"
" MOCA","3742","68093840","349.97"
" MOROVIS","2622","49330377","361.77"
" NAGUABO","1931","41575719","413.98"
" NARANJITO","2847","58567552","395.61"
" OROCOVIS","3083","56810685","354.39"
" PATILLAS","1744","37612872","414.67"
" PEÑUELAS","2967","71889975","466.01"
" PONCE","51193","1192736629","448.05"
" QUEBRADILLAS","2243","45210868","387.71"
" RINCÓN","1656","30157489","350.14"
" RÍO GRANDE","6069","134520913","426.27"
" SABANA GRANDE","2738","54636219","383.77"
" SALINAS","4191","102071004","468.34"
" SAN GERMÁN","9168","204443179","428.84"
" SAN JUAN","262332","8427117250","617.77"
" SAN LORENZO","4513","119318693","508.45"
" SAN SEBASTIÁN","5219","95888946","353.32"
" SANTA ISABEL","6432","117399844","351.03"
" TOA ALTA","3577","69530501","373.86"
" TOA BAJA","13558","315857989","448.01"
" TRUJILLO ALTO","11408","198770189","335.09"
" UTUADO","3819","87774469","441.97"
" VEGA ALTA","4551","99133405","418.90"
" VEGA BAJA","8134","210241280","497.05"
" VIEQUES","1651","36635517","426.62"
" VILLALBA","3300","84032014","489.68"
" YABUCOA","3167","65666193","398.79"
" YAUCO","6410","123157236","369.51"
"MULTIMUNICIPIO","1240","71359961","1107.07"
"NO CODIFICADO","969","49919972","991.14"
